Time,J1_Vel (rad/s),J1_Torque (Nm),J1_Reaction (N)_x,J1_Reaction (N)_y,J1_Reaction (N)_z,J2_Pos_x,J2_Pos_y,J2_Pos_z,J2_Vel_x,J2_Vel_y,J2_Vel_z,J2_Reaction (N)_x,J2_Reaction (N)_y,J2_Reaction (N)_z,J3_Pos_x,J3_Pos_y,J3_Pos_z,J3_Vel_x,J3_Vel_y,J3_Vel_z,J3_Reaction (N)_x,J3_Reaction (N)_y,J3_Reaction (N)_z,J4_Reaction (N)_x,J4_Reaction (N)_y,J4_Reaction (N)_z
0.08000000000000006,-1.985601609999539,40.80001609999539,-108.98172307505938,-74.88139087908763,32.21331743569517,0.584607086127602,0.5786847526426135,0.1,0.45954871055475877,0.4282485697259695,0.0,-116.02619139595991,4.360838675341455,22.403316968801047,1.0432898211861765,0.7777077376448123,0.1,0.165240404027439,1.1065327336727466,0.0,-116.02619139595991,4.360838675341455,22.403316968801047,-127.0139604419263,-36.765371169789894,32.213317435695224
0.08200000000000006,-1.789932461454108,38.843324614541075,-103.61730717084309,-71.79413022468418,34.414562508612875,0.5854265048998181,0.5794689613886581,0.1,0.4084681287707045,0.3905249012669408,0.0,-110.98648085667683,4.517826868387701,24.60456204171875,1.0435703306757236,0.7797293791037341,0.1,0.13817857555932633,1.0088772016786196,0.0,-110.98648085667683,4.517826868387701,24.60456204171875,-121.07679348000619,-35.090647766259224,34.41456250861278
0.08400000000000006,-1.606924309589912,37.013243095899114,-98.60771180543365,-68.76959958996565,36.24731896059029,0.5861508717036588,0.5801836046823908,0.1,0.3611609394756281,0.3560394592581677,0.0,-106.16246141333023,4.6865568995518245,26.437318493696164,1.0438010048664885,0.7815696906368186,0.1,0.11362293769495241,0.9185698790778508,0.0,-106.16246141333023,4.6865568995518245,26.437318493696164,-115.47325223952018,-33.44647473943776,36.24731896059049
0.08600000000000006,-1.4355188952791313,35.29918895279131,-93.92272129034232,-65.81700658845747,37.785114016273965,0.5867868963552567,0.5808348832804513,0.1,0.3171755298020106,0.32460715461511325,0.0,-101.54661477681583,4.860969316649189,27.975113549379856,1.043986043278828,0.7832427389885703,0.1,0.09111191103962124,0.8352399721361083,0.0,-101.54661477681583,4.860969316649189,27.975113549379856,-110.17993499384366,-31.83925023615917,37.78511401627393
0.08800000000000006,-1.2747652688005344,33.69165268800534,-89.53526493758926,-62.94433327404923,39.08638788563941,0.5873404989338478,0.5814286187889667,0.1,0.27612130132755697,0.29604505391440616,0.0,-97.13209287253228,5.0356437005761165,29.27638741874529,1.044128859385013,0.7847618274793731,0.1,0.07025970556857436,0.758513439734174,0.0,-97.13209287253228,5.0356437005761165,29.27638741874529,-105.17597507288718,-30.274857988540774,39.08638788563945
0.09000000000000007,-1.1238061753825381,32.18206175382538,-85.42100802038534,-60.158173153041744,40.19738788166347,0.587816916625846,0.5819702607370886,0.1,0.2376606167153051,0.2701728252886968,0.0,-92.91238248741135,5.205912115322608,30.387387414769357,1.0442322133299922,0.7861394967509068,0.1,0.05074610878074798,0.6880156025006688,0.0,-92.91238248741135,5.205912115322608,30.387387414769357,-100.44256441709022,-28.75840158368988,40.197387881663616
0.09200000000000007,-0.981866490076253,30.76266490076253,-81.55800359077011,-57.463689743521314,41.15455806771538,0.5882207962906134,0.5824648947491269,0.1,0.20150169237683593,0.2468134244633329,0.0,-88.88108929908883,5.367891082676341,31.344557600821254,1.044298326162652,0.7873875307506673,0.1,0.03230729230171864,0.6233738941122833,0.0,-88.88108929908883,5.367891082676341,31.344557600821254,-95.962581394439,-27.294075561693266,41.15455806771536
0.09400000000000007,-0.848243418243151,29.426434182431507,-77.92639748038373,-54.86465829418756,41.98650294635785,0.5885562744900067,0.5829172520562365,0.1,0.16739236388675377,0.2257938789165805,0.0,-85.03181106334063,5.518460684756249,32.17650247946374,1.0443289775550677,0.7885169678653006,0.1,0.014727611064121848,0.5642205483451908,0.0,-85.03181106334063,5.518460684756249,32.17650247946374,-91.7203039480694,-25.885130822201514,41.98650294635794
0.09600000000000007,-0.7222981931288673,28.166981931288674,-74.50817887720723,-52.36356122762021,42.71559318953016,0.588827046565157,0.5833317203867574,0.1,0.1351146437571783,0.20694607365359863,0.0,-81.3580752971373,5.655211438814263,32.90559272263604,1.0443255888958678,0.7895381168311875,0.1,-0.0021676525523250667,0.5101950850083121,0.0,-81.3580752971373,5.655211438814263,32.90559272263604,-87.70119097571771,-24.53390236952393,42.715593189530196
0.09800000000000007,-0.6034490272443263,26.97849027244326,-71.28696936886499,-49.96171525656327,43.359271993302485,0.589036426182189,0.5837123561430745,0.1,0.10447998980481811,0.1901074763684505,0.0,-77.8533218532677,5.77637350621826,33.54927152640837,1.0442892935239954,0.790460576878015,0.1,-0.018518661208400677,0.46094651118041385,0.0,-77.8533218532677,5.77637350621826,33.54927152640837,-83.89171711698293,-23.241875835214106,43.35927199330243
0.10000000000000007,-0.4911651040477152,25.85565104047715,-68.24784407102297,-47.65941406731953,43.93111225825107,0.5891873966111116,0.5840628976937101,0.1,0.07532520467990332,0.17512176503039842,0.0,-74.51091518296883,5.880738236090579,34.121111791356945,1.044220995732548,0.7912932614693691,0.1,-0.034436581370617086,0.4161351939632094,0.0,-74.51091518296883,5.880738236090579,34.121111791356945,-80.27924849747853,-22.009775788566685,43.93111225825112
0.10200000000000008,-0.38496142707414127,24.79361427074141,-65.37717928108607,-45.45607515251062,44.4416673861189,0.5892826548535439,0.5843867795677145,0.1,0.04750889172793874,0.1618393390964345,0.0,-71.32417478445889,5.967578684570796,34.631666919224784,1.044121420027949,0.792044424971447,0.1,-0.05000840165229474,0.37543438982514854,0.0,-71.32417478445889,5.967578684570796,34.631666919224784,-76.85194924424441,-20.837663889746597,44.44166738611896
